Save:  ASD
===============================
Type: 0
xPos: 90
yPos: 110
speed: 10
collided: 0
collisionCoolDown: 4159
Name:  ASD
Direction: 3
animState: 0
RunTimer: 2937
RunCycle: 0
RunTick: 0
HealthAmount: 10
SpriteOffset: 6
CollisionMask: 65280
RenderHealth: 1
===============================
Type: 0
xPos: 1600
yPos: 415
speed: 0
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 1600
yPos: 445
speed: 0
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 1600
yPos: 455
speed: 0
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 1600
yPos: 455
speed: 0
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 90
yPos: 635
speed: 5
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 90
yPos: 490
speed: 5
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 90
yPos: 355
speed: 5
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 0
xPos: 90
yPos: 215
speed: 5
collided: 205
collisionCoolDown: -842150451
Name: Enemy
Direction: 4
animState: 0
RunTimer: 0
RunCycle: 0
RunTick: 0
HealthAmount: 0
SpriteOffset: 0
CollisionMask: 0
RenderHealth: 0
===============================
Type: 1
xPos: 100
yPos: 750
speed: 10
collided: 0
collisionCoolDown: 4158
tick: 0
===============================
EOF
